,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist
1942,Kepler-1391 b,2352,3.46 Earths,13.828,2016,Kepler-1264 b,Kepler-1264,1,1.0,Transit,2016.0,Kepler,0.0,0.96852602,2.33e-06,-2.33e-06,0.0,0.0191,,,0.0,1.18,0.22,-0.12,0.0,0.105,0.02,-0.011,0.0,1.76,,,0,0.00553,,,0.0,M-R relationship,0.0,,,0.0,2367.8,166.02,-152.94,0.0,1677,,,0.0,0,,5791.0,109.18,-145.15,0.0,0.98,0.18,-0.09,0.0,0.99,0.06,-0.06,0,-0.02,0.139,-0.18,0.0,[Fe/H],4.45,0.07,-0.14,0.0,19h19m32.26s,289.8844102,+45d12m41.43s,45.2115075,801.993
1943,Kepler-1392 b,3644,4.5 Earths,15.666,2016,Kepler-1265 b,Kepler-1265,1,1.0,Transit,2016.0,Kepler,0.0,6.49441289,2.951e-05,-2.951e-05,0.0,0.0612,,,0.0,1.35,0.07,-0.13,0.0,0.12,0.006,-0.012,0.0,2.39,,,0,0.00752,,,0.0,M-R relationship,0.0,,,0.0,58.15,2.84,-2.69,0.0,732,,,0.0,0,,4630.0,42.63,-41.2,0.0,0.69,0.03,-0.05,0.0,0.71,0.04,-0.05,0,-0.1,0.155,-0.204,0.0,[Fe/H],4.63,0.03,-0.03,0.0,18h58m20.60s,284.5858364,+47d04m46.43s,47.0795646,583.641
1944,Kepler-1393 b,1507,0.437 Earths,13.332,2016,Kepler-1266 b,Kepler-1266,1,1.0,Transit,2016.0,Kepler,0.0,28.474748,0.0002045,-0.0002045,0.0,0.1689,,,0.0,2.58,0.13,-0.46,0.0,0.23,0.012,-0.041,0.0,7.18,,,0,0.0226,,,0.0,M-R relationship,0.0,,,0.0,10.31,0.78,-0.72,0.0,489,,,0.0,0,,5044.0,49.22,-50.99,0.0,0.76,0.04,-0.05,0.0,0.8,0.04,-0.05,0,-0.07,0.154,-0.183,0.0,[Fe/H],4.59,0.03,-0.05,0.0,19h03m28.64s,285.8693277,+42d43m40.80s,42.7279996,849.312
1945,Kepler-1394 b,2675,2.51 Earths,11.714,2016,Kepler-1267 b,Kepler-1267,1,1.0,Transit,2016.0,Kepler,0.0,13.0313945,0.0001104,-0.0001104,0.0,0.1057,,,0.0,3.01,0.95,-0.45,0.0,0.269,0.085,-0.04,0.0,9.32,,,0,0.0293,,,0.0,M-R relationship,0.0,,,0.0,86.47,8.78,-7.79,0.0,774,,,0.0,0,,6096.0,119.67,-215.9,0.0,1.2,0.37,-0.17,0.0,1.15,0.11,-0.11,0,0.07,0.15,-0.139,0.0,[Fe/H],4.33,0.10,-0.2,0.0,19h56m40.68s,299.1695093,+43d26m27.79s,43.4410533,1379.43
1946,Kepler-1395 b,1654,0.437 Earths,12.536,2016,Kepler-1268 b,Kepler-1268,1,1.0,Transit,2016.0,Kepler,0.0,40.9903986,0.0004806,-0.0004806,0.0,0.2383,,,0.0,2.03,0.67,-0.23,0.0,0.181,0.06,-0.021,0.0,4.78,,,0,0.015,,,0.0,M-R relationship,0.0,,,0.0,40.65,4.28,-3.78,0.0,627,,,0.0,0,,5904.0,68.91,-79.21,0.0,1.09,0.36,-0.12,0.0,1.06,0.08,-0.06,0,0.05,0.14,-0.166,0.0,[Fe/H],4.38,0.09,-0.21,0.0,19h11m21.22s,287.838419,+43d09m11.44s,43.1531776,1840.77
1947,Kepler-1396 b,4032,4.94 Earths,14.527,2016,Kepler-1269 b,Kepler-1269,1,1.0,Transit,2016.0,Kepler,0.0,37.3331536,0.000321,-0.000321,0.0,0.226,,,0.0,1.63,0.46,-0.18,0.0,0.145,0.041,-0.016,0.0,3.29,,,0,0.0104,,,0.0,M-R relationship,0.0,,,0.0,69.0,2.92,-2.79,0.0,657,,,0.0,0,,5998.0,88.2,-88.22,0.0,1.15,0.32,-0.12,0.0,1.1,0.09,-0.06,0,0.07,0.138,-0.145,0.0,[Fe/H],4.36,0.09,-0.18,0.0,19h11m13.33s,287.8055442,+45d20m25.93s,45.3405371,1097.23
1948,Kepler-1397 b,2512,3.61 Earths,14.091,2016,Kepler-127 b,Kepler-127,1,3.0,Transit,2014.0,Kepler,0.0,14.435889,6.3e-05,-6.3e-05,0.0,0.125,,,0.0,1.4,0.05,-0.05,0.0,0.125,0.004,-0.004,0.0,2.54,,,0,0.008,,,0.0,M-R relationship,0.47,0.06,-0.39,0.0,159.16,3.69,-3.61,0.0,884,,,0.0,0,,6106.0,106.0,-106.0,0.0,1.36,0.04,-0.04,0.0,1.27,0.04,-0.04,0,0.214,0.012,-0.012,0.0,[M/H],4.26,0.05,-0.05,0.0,19h00m45.59s,285.1899439,+46d01m41.01s,46.0280596,352.794
1949,Kepler-1398 b,2587,0.666 Earths,13.66,2016,Kepler-127 c,Kepler-127,1,3.0,Transit,2014.0,Kepler,0.0,29.393195,7.3e-05,-7.3e-05,0.0,0.2,,,0.0,2.66,0.14,-0.14,0.0,0.237,0.012,-0.012,0.0,7.56,,,0,0.0238,,,0.0,M-R relationship,0.03,0.14,-0.03,0.0,61.69,1.43,-1.4,0.0,698,,,0.0,1,,6106.0,106.0,-106.0,0.0,1.36,0.04,-0.04,0.0,1.27,0.04,-0.04,0,0.214,0.012,-0.012,0.0,[M/H],4.26,0.05,-0.05,0.0,19h00m45.59s,285.1899439,+46d01m41.01s,46.0280596,352.794
1950,Kepler-1398 c,2587,1.08 Earths,13.66,2016,Kepler-127 d,Kepler-127,1,3.0,Transit,2014.0,Kepler,0.0,48.630408,0.000128,-0.000128,0.0,0.28,,,0.0,2.64,0.14,-0.14,0.0,0.236,0.012,-0.012,0.0,7.46,,,0,0.0235,,,0.0,M-R relationship,0.03,0.28,-0.03,0.0,31.52,0.73,-0.72,0.0,590,,,0.0,0,,6106.0,106.0,-106.0,0.0,1.36,0.04,-0.04,0.0,1.27,0.04,-0.04,0,0.214,0.012,-0.012,0.0,[M/H],4.26,0.05,-0.05,0.0,19h00m45.59s,285.1899439,+46d01m41.01s,46.0280596,352.794
1951,Kepler-1399 b,4097,2.1 Earths,15.507,2016,Kepler-1270 b,Kepler-1270,1,1.0,Transit,2016.0,Kepler,0.0,6.03356196,6.551e-05,-6.551e-05,0.0,0.0663,,,0.0,3.32,0.3,-0.65,0.0,0.296,0.027,-0.058,0.0,11.0,,,0,0.0346,,,0.0,M-R relationship,0.0,,,0.0,1217.39,42.34,-40.93,0.0,1598,,,0.0,0,,5047.0,40.17,-34.17,0.0,3.38,0.3,-0.41,0.0,1.28,0.01,-0.11,0,-0.02,0.111,-0.02,0.0,[Fe/H],3.49,0.09,-0.07,0.0,19h06m51.76s,286.7156676,+48d38m42.92s,48.6452552,1095.05
