,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,11 Com b,11 Com,2,1.0,Radial Velocity,2007.0,Xinglong Station,0.0,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,12.1,,,0.0,1.08,,,0.0,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0.0,Msini,0.231,0.005,-0.005,0.0,,,,,,,,,0,G8 III,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0,-0.35,0.09,-0.09,0.0,[Fe/H],2.31,0.10,-0.1,0.0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,11 UMi b,11 UMi,1,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,0.0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,,,0.0,1.09,,,0.0,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0.0,Msini,0.08,0.03,-0.03,0.0,,,,,,,,,0,K4 III,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0,-0.02,,,0.0,[Fe/H],1.93,0.07,-0.07,0.0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,14 And b,14 And,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,185.84,0.23,-0.23,0.0,0.83,,,0.0,12.9,,,0.0,1.15,,,0.0,1525.5,,,0,4.8,,,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K0 III,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0,-0.24,0.03,-0.03,0.0,[Fe/H],2.63,0.07,-0.07,0.0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,14 Her b,14 Her,1,2.0,Radial Velocity,2002.0,W. M. Keck Observatory,0.0,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,12.9,,,0.0,1.15,,,0.0,1481.0878,47.6745,-47.6745,0,4.66,0.15,-0.15,0.0,Msini,0.37,0.0,0.0,0.0,,,,,,,,,0,K0 V,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.9,0.04,-0.04,0,0.41,,,0.0,[Fe/H],4.45,0.02,-0.02,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,16 Cyg B b,16 Cyg B,3,1.0,Radial Velocity,1996.0,Multiple Observatories,0.0,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,,,0.0,1.2,,,0.0,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0.0,Msini,0.68,0.02,-0.02,0.0,,,,,,,,,0,G3 V,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0,0.06,,,0.0,[Fe/H],4.36,0.01,-0.01,0.0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,18 Del b,18 Del,2,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,993.3,3.2,-3.2,0.0,2.6,,,0.0,12.5,,,0.0,1.11,,,0.0,3273.5,,,0,10.3,,,0.0,Msini,0.08,0.01,-0.01,0.0,,,,,,,,,0,G6 III,4979.0,18.0,-18.0,0.0,8.5,,,0.0,2.3,,,0,-0.052,0.023,-0.023,0.0,[Fe/H],2.82,0.06,-0.06,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1.0,Imaging,2008.0,Gemini Observatory,0.0,,,,,330.0,,,0.0,18.647,,,0.0,1.664,,,0.0,3000.0,300.0,-300.0,0,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,1700,100.0,-100.0,0.0,0,K7 V,4060.0,300.0,-200.0,0.0,1.31,0.18,-0.1,0.0,0.85,0.2,-0.1,0,,,,,,4.0,0.14,-0.1,0.0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,24 Boo b,24 Boo,1,1.0,Radial Velocity,2018.0,Okayama Astrophysical Observatory,0.0,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,13.9,,,0.0,1.24,,,0.0,289.2253,41.3179,-31.783,0,0.91,0.13,-0.1,0.0,Msini,0.042,0.048,-0.029,0.0,,,,,,,,,0,G3 IV,4893.0,15.0,-15.0,0.0,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0,-0.77,0.03,-0.03,0.0,[Fe/H],2.42,0.10,-0.1,0.0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,24 Sex b,24 Sex,1,2.0,Radial Velocity,2010.0,Lick Observatory,0.0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,,,0.0,1.19,,,0.0,632.46,82.63,-120.77,0,1.99,0.26,-0.38,0.0,Msini,0.09,0.14,-0.06,0.0,,,,,,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.10,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,24 Sex c,24 Sex,1,2.0,Radial Velocity,2010.0,Lick Observatory,0.0,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,,,0.0,1.24,,,0.0,273.32,111.24,-69.92,0,0.86,0.35,-0.22,0.0,Msini,0.29,0.16,-0.09,0.0,,,,,,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.10,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1.0,Imaging,2013.0,Paranal Observatory,0.0,,,,,84.0,,,0.0,12.3,,,0.0,1.1,,,0.0,4131.79,317.83,-317.83,0,13.0,1.0,-1.0,0.0,Mass,,,,,,,,,,,,,0,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1.0,Imaging,2013.0,W. M. Keck Observatory,0.0,,,,,52.0,6.0,-6.0,0.0,11.209,,,0.0,1.0,,,0.0,7786.5,794.5,-794.5,0,24.5,2.5,-2.5,0.0,Mass,,,,,,,,,1600,100.0,-100.0,0.0,0,M3.5 V,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.05,-0.05,0,,,,,,4.86,0.00,0.0,0.0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1.0,Imaging,2015.0,Cerro Tololo Inter-American Observatory,0.0,,,,,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0,13.9,1.1,-1.1,0.0,Mass,,,,,,,,,,,,,0,M6,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0,,,,,,4.59,0.06,-0.06,0.0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1.0,Imaging,2010.0,Hubble Space Telescope,0.0,,,,,15.0,,,0.0,12.6,,,0.0,1.13,,,0.0,2383.6,794.5,-794.5,0,7.5,2.5,-2.5,0.0,Mass,,,,,,,,,,,,,0,M8.5,2936.0,182.0,-182.0,0.0,0.23,0.01,-0.01,0.0,0.02,,,0,,,,,,5.01,0.00,0.0,0.0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1.0,Imaging,2004.0,Paranal Observatory,0.0,,,,,55.0,,,0.0,12.9,,,0.0,1.15,,,0.0,1589.15,635.66,-635.66,0,5.0,2.0,-2.0,0.0,Mass,,,,,,,,,1250,200.0,-200.0,0.0,0,M8,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.02,,,0,,,,,,5.03,0.02,-0.02,0.0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1.0,Eclipse Timing Variations,2015.0,Kepler,0.0,416.0,2.0,-2.0,0.0,0.92,0.02,-0.02,0.0,13.4,,,0.0,1.2,,,0.0,603.877,31.783,-31.783,0,1.9,0.1,-0.1,0.0,Mass,,,,,,,,,,,,,0,,10868.0,380.0,-380.0,0.0,0.34,0.03,-0.02,0.0,0.48,0.03,-0.03,0,-0.092,,,0.0,[Fe/H],3.91,,,0.0,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1.0,Imaging,2009.0,W. M. Keck Observatory,0.0,7336.5,1934.5,-584.0,0.0,,,,,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,26629.91,-6657.48,0,20.95,83.79,-20.95,0.0,Mass,0.26,0.06,-0.06,0.0,,,,,2075,70.0,-70.0,0.0,0,M8.5,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0,,,,,,5.22,0.05,-0.05,0.0,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,33.1156898
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1.0,Imaging,2016.0,W. M. Keck Observatory,0.0,,,,,230.0,20.0,-20.0,0.0,12.3,,,0.0,1.1,,,0.0,3972.875,476.745,-476.745,0,12.5,1.5,-1.5,0.0,Mass,,,,,,,,,,,,,0,K7 V,4045.0,35.0,-35.0,0.0,0.64,0.06,-0.06,0.0,0.6,0.05,-0.05,0,,,,,,4.62,0.09,-0.13,0.0,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,30 Ari B b,30 Ari B,4,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,0.0,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,12.3,,,0.0,1.1,,,0.0,4392.4106,572.094,-572.094,0,13.82,1.8,-1.8,0.0,Msini,0.29,0.09,-0.09,0.0,,,,,,,,,0,F6 V,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0,0.19,,,0.0,[Fe/H],4.43,0.05,-0.05,0.0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,4 UMa b,4 UMa,1,1.0,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,0.0,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,12.7,,,0.0,1.13,,,0.0,2256.5,508.5,-508.5,0,7.1,1.6,-1.6,0.0,Msini,0.432,0.024,-0.024,0.0,,,,,,,,,0,K1 III,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0,-0.25,0.04,-0.04,0.0,[Fe/H],1.8,0.15,-0.15,0.0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,42 Dra b,42 Dra,2,1.0,Radial Velocity,2008.0,Thueringer Landessternwarte Tautenburg,0.0,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,13.0,,,0.0,1.16,,,0.0,1233.13,270.14,-270.14,0,3.88,0.85,-0.85,0.0,Msini,0.38,0.06,-0.06,0.0,,,,,,,,,0,K1.5 III,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0,-0.46,0.05,-0.05,0.0,[Fe/H],1.71,0.05,-0.05,0.0,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,47 UMa b,47 UMa,1,3.0,Radial Velocity,1996.0,Lick Observatory,0.0,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,13.2,,,0.0,1.18,,,0.0,804.08,22.25,-19.07,0,2.53,0.07,-0.06,0.0,Msini,0.032,0.014,-0.014,0.0,,,,,,,,,0,G0 V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,47 UMa c,47 UMa,1,3.0,Radial Velocity,2001.0,Lick Observatory,0.0,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,14.2,,,0.0,1.27,,,0.0,171.621,20.976,-23.201,0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,0,G1 V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,47 UMa d,47 UMa,1,3.0,Radial Velocity,2009.0,Lick Observatory,0.0,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,13.5,,,0.0,1.2,,,0.0,521.22,92.17,-152.55,0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,0,G0V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967
24,51 Eridani b,96,2 Jupiters,5.23,2015,51 Eri b,51 Eri,3,1.0,Imaging,2015.0,Gemini Observatory,0.0,11688.0,6209.25,-3287.25,0.0,12.0,4.0,-2.0,0.0,13.4,,,0.0,1.19,,,0.0,635.66,,,0,2.0,,,0.0,Mass,0.45,0.1,-0.15,0.0,,,,,700,,,0.0,0,F0 IV,7295.0,120.09,-98.99,0.0,1.49,0.05,-0.06,0.0,1.65,0.36,-0.18,0,-0.027,0.045,-0.045,0.0,[M/H],4.31,0.09,-0.07,0.0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,51 Peg b,51 Peg,1,1.0,Radial Velocity,1995.0,Haute-Provence Observatory,0.0,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,14.3,,,0.0,1.27,,,0.0,146.2018,19.0698,-3.1783,0,0.46,0.06,-0.01,0.0,Mass,0.013,0.012,-0.012,0.0,,,,,,,,,0,G5V,5758.0,101.62,-119.62,0.0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0,0.18,0.1,-0.1,0.0,[M/H],4.31,0.08,-0.06,0.0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,55 Cnc b,55 Cnc,2,5.0,Radial Velocity,1996.0,Lick Observatory,0.0,14.6516,0.0001,-0.0001,0.0,0.1134,0.0006,-0.0006,0.0,13.9,,,0.0,1.24,,,0.0,263.9785,1.0488,-1.0488,0,0.8306,0.0033,-0.0033,0.0,Mass,0.0,0.01,-0.01,0.0,,,,,700,,,0.0,0,K0 IV-V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,55 Cnc c,55 Cnc,2,5.0,Radial Velocity,2004.0,McDonald Observatory,0.0,44.3989,0.0042,-0.0043,0.0,0.2373,0.0013,-0.0013,0.0,8.51,,,0.0,0.76,,,0.0,54.4738,1.748,-1.748,0,0.1714,0.0055,-0.0055,0.0,Mass,0.03,0.02,-0.02,0.0,,,,,,,,,0,G8V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,55 Cnc d,55 Cnc,2,5.0,Radial Velocity,2002.0,Lick Observatory,0.0,5574.2,93.8,-88.6,0.0,5.957,0.074,-0.071,0.0,13.0,,,0.0,1.16,,,0.0,1232.493,21.612,-21.612,0,3.878,0.068,-0.068,0.0,Mass,0.13,0.02,-0.02,0.0,,,,,,,,,0,G8 V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855
29,55 Cancri e,41,8.08 Earths,5.96,2004,55 Cnc e,55 Cnc,2,5.0,Radial Velocity,2004.0,McDonald Observatory,0.0,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,0.167,0.003,-0.003,0.0,7.99,0.32,-0.33,0,0.02514,0.00101,-0.00104,0.0,Mass,0.05,0.03,-0.03,0.0,,,,,1958,15.0,-15.0,0.0,0,G8 V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,55 Cnc f,55 Cnc,2,5.0,Radial Velocity,2007.0,Multiple Observatories,0.0,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,7.59,,,0.0,0.677,,,0.0,44.812,3.814,-3.814,0,0.141,0.012,-0.012,0.0,Mass,0.08,0.05,-0.04,0.0,,,,,,,,,0,G8V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855
31,61 Virginis b,28,5.1 Earths,4.74,2009,6 Lyn b,6 Lyn,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,934.3,8.6,-8.6,0.0,2.11,0.11,-0.11,0.0,13.4,,,0.0,1.19,,,0.0,638.8383,24.47291,-24.47291,0,2.01,0.077,-0.077,0.0,Msini,0.073,0.036,-0.036,0.0,,,,,,,,,0,K0 IV,4938.0,,,0.0,5.2,,,0.0,1.44,,,0,-0.13,0.02,-0.02,0.0,[Fe/H],3.19,,,0.0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599
32,61 Virginis c,28,18.2 Earths,4.74,2009,61 Vir b,61 Vir,1,3.0,Radial Velocity,2009.0,Multiple Observatories,0.0,4.215,0.0006,-0.0006,0.0,0.050201,5e-06,-5e-06,0.0,2.11,,,0.0,0.188,,,0.0,5.1,0.5,-0.5,0,0.016,0.002,-0.002,0.0,Msini,0.12,0.11,-0.11,0.0,,,,,,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332
33,61 Virginis d,28,22.9 Earths,4.74,2009,61 Vir c,61 Vir,1,3.0,Radial Velocity,2009.0,Multiple Observatories,0.0,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,4.46,,,0.0,0.398,,,0.0,18.2,1.1,-1.1,0,0.057,0.003,-0.003,0.0,Msini,0.14,0.06,-0.06,0.0,,,,,,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,61 Vir d,61 Vir,1,3.0,Radial Velocity,2009.0,Multiple Observatories,0.0,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,5.11,,,0.0,0.456,,,0.0,22.9,2.6,-2.6,0,0.072,0.008,-0.008,0.0,Msini,0.35,0.09,-0.09,0.0,,,,,,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,7 CMa b,7 CMa,1,2.0,Radial Velocity,2011.0,Anglo-Australian Telescope,0.0,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,13.4,,,0.0,1.2,,,0.0,587.9855,19.0698,-19.0698,0,1.85,0.06,-0.06,0.0,Msin(i)/sin(i),0.06,0.03,-0.03,0.0,,,,,,,,,0,K1 III,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101
36,75 Ceti b,271,3 Jupiters,5.35,2012,7 CMa c,7 CMa,1,2.0,Radial Velocity,2019.0,Multiple Observatories,0.0,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,13.9,,,0.0,1.24,,,0.0,276.5121,19.0698,-19.0698,0,0.87,0.06,-0.06,0.0,Msin(i)/sin(i),0.08,0.05,-0.04,0.0,,,,,,,,,0,K1III(+M),4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,70 Vir b,70 Vir,1,1.0,Radial Velocity,1996.0,Lick Observatory,0.0,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,12.6,,,0.0,1.13,,,0.0,2380.45,193.87,-193.87,0,7.49,0.61,-0.61,0.0,Mass,0.3988,0.0019,-0.0019,0.0,,,,,,,,,0,G5V,5495.0,,,0.0,1.89,,,0.0,1.09,,,0,-0.09,0.03,-0.03,0.0,[Fe/H],3.95,,,0.0,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,75 Cet b,75 Cet,2,1.0,Radial Velocity,2012.0,Okayama Astrophysical Observatory,0.0,691.9,3.6,-3.6,0.0,2.1,,,0.0,13.1,,,0.0,1.17,,,0.0,953.49,,,0,3.0,,,0.0,Msini,0.117,0.048,-0.048,0.0,,,,,,,,,0,G3 III,4846.0,18.0,-18.0,0.0,10.5,1.0,-1.0,0.0,2.49,0.02,-0.27,0,0.0,0.04,-0.04,0.0,[Fe/H],2.63,0.05,-0.05,0.0,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,8 UMi b,8 UMi,1,1.0,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,0.0,93.4,4.5,-4.5,0.0,0.49,0.02,-0.02,0.0,13.6,,,0.0,1.22,,,0.0,416.3573,50.8528,-50.8528,0,1.31,0.16,-0.16,0.0,Msini,0.06,0.09,-0.09,0.0,,,,,,,,,0,K0,4847.0,7.0,-7.0,0.0,10.3,0.57,-0.57,0.0,1.44,0.19,-0.19,0,-0.03,,,0.0,[Fe/H],2.57,0.03,-0.03,0.0,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,81 Cet b,81 Cet,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,952.7,8.8,-8.8,0.0,2.5,,,0.0,12.8,,,0.0,1.14,,,0.0,1684.4,,,0,5.3,,,0.0,Msini,0.206,0.029,-0.029,0.0,,,,,,,,,0,G5 III,4785.0,25.0,-25.0,0.0,11.0,2.0,-1.0,0.0,2.4,0.1,-0.4,0,-0.06,0.03,-0.03,0.0,[Fe/H],2.35,0.08,-0.08,0.0,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26
